ID,The smell was relevant to the images I was watching.,The smell came across strong.,The smell was distracting.,The smell was consistent with the images when released.,The smell was annoying.,The smell faded away slowly after watching the images.,The smell enhanced my viewing experience.,"Overall, I enjoyed the multisensorial experience.","Do you feel any discomfort now (e.g., nausea, vertigo, headache)? Rate it from 1 (none) to 5 (severe)",Interested,Excited,Upset,Irritable,Enthusiastic,Overall feeling,How did you feel during the experience?,How aroused did you feel during the experience? (i.e. how activated or stimulated),How in control did you feel during the experience? (i.e. how free and autonomous vs. constrained)
1,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Strongly agree,Strongly agree,1,5,5,1,1,5,5,9,8,8
2,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,2,5,4,1,1,4,5,8,8,8
3,Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Strongly agree,1,5,4,2,2,4,4,8,8,8
4,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,1,3,1,1,1,1,3,5,3,9
5,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,1,5,3,1,1,4,4,5,5,2
6,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,1,5,5,1,1,5,5,9,9,9
7,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,2,5,4,1,1,4,5,9,5,9
8,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Strongly disagree,1,3,2,1,1,3,1,7,3,4
9,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Agree,1,4,3,2,2,4,4,7,6,8
10,Neutral,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Neutral,Agree,1,4,3,1,1,4,4,7,7,7
11,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Agree,1,5,3,1,1,3,3,7,2,8
12,Agree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Agree,1,4,3,1,1,3,4,7,7,9
13,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,1,4,3,1,1,3,3,5,2,5
14,Agree,Agree,Disagree,Strongly agree,Strongly disagree,Disagree,Agree,Strongly agree,1,5,5,1,1,5,5,9,7,7
15,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,2,5,4,2,2,4,4,8,6,7
16,Strongly agree,Neutral,Disagree,Agree,Strongly disagree,Disagree,Agree,Strongly agree,1,5,5,2,2,5,5,8,5,9
17,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,1,5,5,1,1,5,5,9,8,9
18,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,1,4,3,1,1,3,3,5,5,9
19,Agree,Neutral,Strongly disagree,Agree,Disagree,Neutral,Agree,Agree,1,4,4,1,1,4,4,7,5,8
