student_id,Factors influencing extraction_masteryStatus,Factors influencing extraction_ability,Factors influencing extraction_numberOfQuestions,Experiment Extraction at large scale at Industry_masteryStatus,Experiment Extraction at large scale at Industry_ability,Experiment Extraction at large scale at Industry_numberOfQuestions,Experiment Extraction of Olive-based compounds_masteryStatus,Experiment Extraction of Olive-based compounds_ability,Experiment Extraction of Olive-based compounds_numberOfQuestions,Introduction to extraction process_masteryStatus,Introduction to extraction process_ability,Introduction to extraction process_numberOfQuestions,Solid-Liquid Extraction Mechanism_masteryStatus,Solid-Liquid Extraction Mechanism_ability,Solid-Liquid Extraction Mechanism_numberOfQuestions,Conventional extraction techniques_masteryStatus,Conventional extraction techniques_ability,Conventional extraction techniques_numberOfQuestions,Solvents and processing conditions_masteryStatus,Solvents and processing conditions_ability,Solvents and processing conditions_numberOfQuestions,Innovative extraction techniques_masteryStatus,Innovative extraction techniques_ability,Innovative extraction techniques_numberOfQuestions,Introduction Extraction of olive-based compounds_masteryStatus,Introduction Extraction of olive-based compounds_ability,Introduction Extraction of olive-based compounds_numberOfQuestions,Solid-Liquid Extraction Definition_masteryStatus,Solid-Liquid Extraction Definition_ability,Solid-Liquid Extraction Definition_numberOfQuestions,Extraction yield and mathematical modelling_masteryStatus,Extraction yield and mathematical modelling_ability,Extraction yield and mathematical modelling_numberOfQuestions
e2-ntua-student25,0,51,0,0,48,0,0,48,0,0,53,0,0,52,0,0,51,0,0,53,0,0,51,0,0,53,0,0,52,0,0,53,0
e2-ntua-student30,0,51,0,0,48,0,0,48,0,0,53,0,0,52,0,0,51,0,0,53,0,0,51,0,0,53,0,0,52,0,0,53,0
e2-ntua-student29,0,51,0,0,48,0,0,48,0,0,53,0,0,52,0,0,51,0,0,53,0,0,51,0,0,53,0,0,52,0,0,53,0
e2-ntua-student27,0,51,0,0,48,0,0,48,0,0,53,0,0,52,0,0,51,0,0,53,0,0,51,0,0,53,0,0,52,0,0,53,0
e2-ntua-student7,3,68,16,2,18,0,2,31,6,3,75,19,3,78,6,5,62,6,3,75,6,3,64,6,3,72,2,3,77,8,1,46,6
e2-ntua-student9,2,15,0,2,12,0,2,27,4,3,52,39,2,27,6,2,15,0,2,28,4,2,15,0,2,43,4,3,55,14,2,27,4
e2-ntua-student25,4,86,69,2,26,0,4,87,71,4,83,15,5,90,43,4,90,2,5,91,40,5,91,2,5,91,7,4,90,29,5,91,36
e2-ntua-student24,4,85,3,2,27,0,2,50,19,4,82,2,4,83,4,4,83,2,4,86,2,3,73,2,4,86,2,4,81,0,4,80,2
e2-ntua-student23,5,91,17,2,30,0,5,91,35,5,91,10,5,91,17,5,91,12,5,91,6,5,91,10,5,91,7,4,89,6,5,91,8
e2-ntua-student22,3,80,1,1,50,0,4,88,6,3,62,5,4,82,6,3,80,1,4,85,1,3,80,1,4,80,0,4,81,1,4,80,0
e2-ntua-student21,3,61,3,2,38,0,1,60,3,3,76,1,4,84,2,3,76,1,3,76,1,3,77,3,3,76,1,3,75,0,3,76,1
