No. Init_clusters,Init_semantic_score,Init_Silhouette_score,No. Final_clusters,Final_semantic_score,Final_Silhouette_score
2,0.48,0.66,2,0.48,0.66
3,0.26,0.47,3,0.26,0.47
4,0.31,0.4,3,0.47,0.42
5,0.27,0.35,3,0.47,0.42
6,0.24,0.36,3,0.47,0.42
7,0.21,0.36,3,0.47,0.42
8,0.16,0.27,3,0.47,0.34
9,0.16,0.26,3,0.47,0.34
10,0.15,0.28,3,0.47,0.34
11,0.14,0.3,3,0.47,0.34
12,0.15,0.29,3,0.47,0.34
13,0.1,0.28,3,0.47,0.41
14,0.1,0.28,3,0.47,0.41
15,0.1,0.28,3,0.47,0.41
16,0.09,0.29,3,0.47,0.41
17,0.09,0.28,3,0.47,0.41
18,0.08,0.27,3,0.47,0.41
19,0.09,0.25,4,0.49,0.33
20,0.09,0.26,4,0.49,0.33
21,0.08,0.25,4,0.49,0.33
22,0.08,0.25,4,0.49,0.33
23,0.08,0.24,4,0.49,0.33
24,0.07,0.23,4,0.49,0.33
25,0.07,0.21,4,0.49,0.33
26,0.07,0.18,4,0.49,0.33
27,0.07,0.17,4,0.49,0.3
28,0.06,0.13,4,0.49,0.22
29,0.06,0.13,4,0.49,0.22
30,0.06,0.13,4,0.49,0.22
31,0.06,0.13,4,0.49,0.22
